,period,respondent,respondent-name,fueltype,type-name,value,value-units
179,2023-01-08T11,CAL,California,SUN,Solar,-49,megawatthours
180,2023-01-08T12,CAL,California,SUN,Solar,-49,megawatthours
181,2023-01-08T13,CAL,California,SUN,Solar,-50,megawatthours
182,2023-01-08T14,CAL,California,SUN,Solar,-50,megawatthours
183,2023-01-08T15,CAL,California,SUN,Solar,-35,megawatthours
184,2023-01-08T16,CAL,California,SUN,Solar,1274,megawatthours
185,2023-01-08T17,CAL,California,SUN,Solar,3848,megawatthours
186,2023-01-08T18,CAL,California,SUN,Solar,6725,megawatthours
187,2023-01-08T19,CAL,California,SUN,Solar,8131,megawatthours
188,2023-01-08T20,CAL,California,SUN,Solar,8709,megawatthours
189,2023-01-08T21,CAL,California,SUN,Solar,8865,megawatthours
190,2023-01-08T22,CAL,California,SUN,Solar,8348,megawatthours
191,2023-01-08T23,CAL,California,SUN,Solar,7339,megawatthours
192,2023-01-09T00,CAL,California,SUN,Solar,4083,megawatthours
193,2023-01-09T01,CAL,California,SUN,Solar,535,megawatthours
194,2023-01-09T02,CAL,California,SUN,Solar,-35,megawatthours
195,2023-01-09T03,CAL,California,SUN,Solar,-40,megawatthours
196,2023-01-09T04,CAL,California,SUN,Solar,-43,megawatthours
197,2023-01-09T05,CAL,California,SUN,Solar,-44,megawatthours
198,2023-01-09T06,CAL,California,SUN,Solar,-44,megawatthours
199,2023-01-09T07,CAL,California,SUN,Solar,-45,megawatthours
200,2023-01-09T08,CAL,California,SUN,Solar,-44,megawatthours
201,2023-01-09T09,CAL,California,SUN,Solar,-45,megawatthours
202,2023-01-09T10,CAL,California,SUN,Solar,-44,megawatthours
203,2023-01-09T11,CAL,California,SUN,Solar,-44,megawatthours
204,2023-01-09T12,CAL,California,SUN,Solar,-44,megawatthours
205,2023-01-09T13,CAL,California,SUN,Solar,-45,megawatthours
206,2023-01-09T14,CAL,California,SUN,Solar,-45,megawatthours
207,2023-01-09T15,CAL,California,SUN,Solar,-25,megawatthours
208,2023-01-09T16,CAL,California,SUN,Solar,493,megawatthours
209,2023-01-09T17,CAL,California,SUN,Solar,1338,megawatthours
210,2023-01-09T18,CAL,California,SUN,Solar,2186,megawatthours
211,2023-01-09T19,CAL,California,SUN,Solar,3086,megawatthours
212,2023-01-09T20,CAL,California,SUN,Solar,4146,megawatthours
213,2023-01-09T21,CAL,California,SUN,Solar,3871,megawatthours
214,2023-01-09T22,CAL,California,SUN,Solar,3293,megawatthours
215,2023-01-09T23,CAL,California,SUN,Solar,2293,megawatthours
216,2023-01-10T00,CAL,California,SUN,Solar,1512,megawatthours
217,2023-01-10T01,CAL,California,SUN,Solar,251,megawatthours
218,2023-01-10T02,CAL,California,SUN,Solar,-39,megawatthours
219,2023-01-10T03,CAL,California,SUN,Solar,-41,megawatthours
220,2023-01-10T04,CAL,California,SUN,Solar,-41,megawatthours
221,2023-01-10T05,CAL,California,SUN,Solar,-41,megawatthours
222,2023-01-10T06,CAL,California,SUN,Solar,-42,megawatthours
223,2023-01-10T07,CAL,California,SUN,Solar,-43,megawatthours
224,2023-01-10T08,CAL,California,SUN,Solar,-42,megawatthours
225,2023-01-10T09,CAL,California,SUN,Solar,-43,megawatthours
226,2023-01-10T10,CAL,California,SUN,Solar,-43,megawatthours
227,2023-01-10T11,CAL,California,SUN,Solar,-43,megawatthours
228,2023-01-10T12,CAL,California,SUN,Solar,-43,megawatthours
229,2023-01-10T13,CAL,California,SUN,Solar,-43,megawatthours
230,2023-01-10T14,CAL,California,SUN,Solar,-29,megawatthours
231,2023-01-10T15,CAL,California,SUN,Solar,-19,megawatthours
232,2023-01-10T16,CAL,California,SUN,Solar,984,megawatthours
233,2023-01-10T17,CAL,California,SUN,Solar,3930,megawatthours
234,2023-01-10T18,CAL,California,SUN,Solar,6176,megawatthours
235,2023-01-10T19,CAL,California,SUN,Solar,6332,megawatthours
236,2023-01-10T20,CAL,California,SUN,Solar,7501,megawatthours
237,2023-01-10T21,CAL,California,SUN,Solar,8036,megawatthours
238,2023-01-10T22,CAL,California,SUN,Solar,7427,megawatthours
239,2023-01-10T23,CAL,California,SUN,Solar,6469,megawatthours
240,2023-01-11T00,CAL,California,SUN,Solar,3942,megawatthours
241,2023-01-11T01,CAL,California,SUN,Solar,609,megawatthours
242,2023-01-11T02,CAL,California,SUN,Solar,-21,megawatthours
243,2023-01-11T03,CAL,California,SUN,Solar,-18,megawatthours
244,2023-01-11T04,CAL,California,SUN,Solar,-20,megawatthours
245,2023-01-11T05,CAL,California,SUN,Solar,-21,megawatthours
246,2023-01-11T06,CAL,California,SUN,Solar,-22,megawatthours
247,2023-01-11T07,CAL,California,SUN,Solar,-23,megawatthours
248,2023-01-11T08,CAL,California,SUN,Solar,-23,megawatthours
249,2023-01-11T09,CAL,California,SUN,Solar,-30,megawatthours
250,2023-01-11T10,CAL,California,SUN,Solar,-44,megawatthours
251,2023-01-11T11,CAL,California,SUN,Solar,-44,megawatthours
252,2023-01-11T12,CAL,California,SUN,Solar,-44,megawatthours
253,2023-01-11T13,CAL,California,SUN,Solar,-44,megawatthours
254,2023-01-11T14,CAL,California,SUN,Solar,-45,megawatthours
