,period,respondent,respondent-name,fueltype,type-name,value,value-units
157,2023-01-07T13,CAL,California,WND,Wind,805,megawatthours
158,2023-01-07T14,CAL,California,WND,Wind,847,megawatthours
159,2023-01-07T15,CAL,California,WND,Wind,907,megawatthours
160,2023-01-07T16,CAL,California,WND,Wind,878,megawatthours
161,2023-01-07T17,CAL,California,WND,Wind,990,megawatthours
162,2023-01-07T18,CAL,California,WND,Wind,722,megawatthours
163,2023-01-07T19,CAL,California,WND,Wind,628,megawatthours
164,2023-01-07T20,CAL,California,WND,Wind,602,megawatthours
165,2023-01-07T21,CAL,California,WND,Wind,677,megawatthours
166,2023-01-07T22,CAL,California,WND,Wind,600,megawatthours
167,2023-01-07T23,CAL,California,WND,Wind,600,megawatthours
168,2023-01-08T00,CAL,California,WND,Wind,726,megawatthours
169,2023-01-08T01,CAL,California,WND,Wind,728,megawatthours
170,2023-01-08T02,CAL,California,WND,Wind,786,megawatthours
171,2023-01-08T03,CAL,California,WND,Wind,1127,megawatthours
172,2023-01-08T04,CAL,California,WND,Wind,1329,megawatthours
173,2023-01-08T05,CAL,California,WND,Wind,1344,megawatthours
174,2023-01-08T06,CAL,California,WND,Wind,1388,megawatthours
175,2023-01-08T07,CAL,California,WND,Wind,1419,megawatthours
176,2023-01-08T08,CAL,California,WND,Wind,1469,megawatthours
177,2023-01-08T09,CAL,California,WND,Wind,1521,megawatthours
178,2023-01-08T10,CAL,California,WND,Wind,1579,megawatthours
179,2023-01-08T11,CAL,California,WND,Wind,1524,megawatthours
180,2023-01-08T12,CAL,California,WND,Wind,1459,megawatthours
181,2023-01-08T13,CAL,California,WND,Wind,1222,megawatthours
182,2023-01-08T14,CAL,California,WND,Wind,1406,megawatthours
183,2023-01-08T15,CAL,California,WND,Wind,1242,megawatthours
184,2023-01-08T16,CAL,California,WND,Wind,1170,megawatthours
185,2023-01-08T17,CAL,California,WND,Wind,1171,megawatthours
186,2023-01-08T18,CAL,California,WND,Wind,950,megawatthours
187,2023-01-08T19,CAL,California,WND,Wind,975,megawatthours
188,2023-01-08T20,CAL,California,WND,Wind,1148,megawatthours
189,2023-01-08T21,CAL,California,WND,Wind,1272,megawatthours
190,2023-01-08T22,CAL,California,WND,Wind,1394,megawatthours
191,2023-01-08T23,CAL,California,WND,Wind,1352,megawatthours
192,2023-01-09T00,CAL,California,WND,Wind,1307,megawatthours
193,2023-01-09T01,CAL,California,WND,Wind,1200,megawatthours
194,2023-01-09T02,CAL,California,WND,Wind,1213,megawatthours
195,2023-01-09T03,CAL,California,WND,Wind,1271,megawatthours
196,2023-01-09T04,CAL,California,WND,Wind,1263,megawatthours
197,2023-01-09T05,CAL,California,WND,Wind,1222,megawatthours
198,2023-01-09T06,CAL,California,WND,Wind,1342,megawatthours
199,2023-01-09T07,CAL,California,WND,Wind,1473,megawatthours
200,2023-01-09T08,CAL,California,WND,Wind,1757,megawatthours
201,2023-01-09T09,CAL,California,WND,Wind,2117,megawatthours
202,2023-01-09T10,CAL,California,WND,Wind,2186,megawatthours
203,2023-01-09T11,CAL,California,WND,Wind,1861,megawatthours
204,2023-01-09T12,CAL,California,WND,Wind,2065,megawatthours
205,2023-01-09T13,CAL,California,WND,Wind,2366,megawatthours
206,2023-01-09T14,CAL,California,WND,Wind,2398,megawatthours
207,2023-01-09T15,CAL,California,WND,Wind,2468,megawatthours
208,2023-01-09T16,CAL,California,WND,Wind,2214,megawatthours
209,2023-01-09T17,CAL,California,WND,Wind,2235,megawatthours
210,2023-01-09T18,CAL,California,WND,Wind,2182,megawatthours
211,2023-01-09T19,CAL,California,WND,Wind,2140,megawatthours
212,2023-01-09T20,CAL,California,WND,Wind,2225,megawatthours
213,2023-01-09T21,CAL,California,WND,Wind,2181,megawatthours
214,2023-01-09T22,CAL,California,WND,Wind,2118,megawatthours
215,2023-01-09T23,CAL,California,WND,Wind,1827,megawatthours
216,2023-01-10T00,CAL,California,WND,Wind,1541,megawatthours
217,2023-01-10T01,CAL,California,WND,Wind,1984,megawatthours
218,2023-01-10T02,CAL,California,WND,Wind,2153,megawatthours
219,2023-01-10T03,CAL,California,WND,Wind,2397,megawatthours
220,2023-01-10T04,CAL,California,WND,Wind,2577,megawatthours
221,2023-01-10T05,CAL,California,WND,Wind,2477,megawatthours
