,period,value
448,2023-12-12T08,30061
449,2023-12-12T07,31976
450,2023-12-12T06,33092
451,2023-12-12T05,33771
452,2023-12-12T04,34262
453,2023-12-12T03,34416
454,2023-12-12T02,32522
455,2023-12-12T01,30093
456,2023-12-12T00,29712
457,2023-12-11T23,30057
458,2023-12-11T22,30407
459,2023-12-11T21,30771
460,2023-12-11T20,31183
461,2023-12-11T19,31796
462,2023-12-11T18,32220
463,2023-12-11T17,32380
464,2023-12-11T16,30842
465,2023-12-11T15,28159
466,2023-12-11T14,26267
467,2023-12-11T13,25851
468,2023-12-11T12,26141
469,2023-12-11T11,26386
470,2023-12-11T10,26452
471,2023-12-11T09,27396
472,2023-12-11T08,28844
473,2023-12-11T07,30565
474,2023-12-11T06,31447
475,2023-12-11T05,32007
476,2023-12-11T04,32372
477,2023-12-11T03,32223
478,2023-12-11T02,29954
479,2023-12-11T01,27531
480,2023-12-11T00,27060
481,2023-12-10T23,26666
482,2023-12-10T22,26654
483,2023-12-10T21,26273
484,2023-12-10T20,26579
485,2023-12-10T19,27069
486,2023-12-10T18,28208
487,2023-12-10T17,27774
488,2023-12-10T16,27233
489,2023-12-10T15,26300
490,2023-12-10T14,25818
491,2023-12-10T13,25559
492,2023-12-10T12,25935
493,2023-12-10T11,26442
494,2023-12-10T10,27170
495,2023-12-10T09,27316
496,2023-12-10T08,28742
497,2023-12-10T07,30059
498,2023-12-10T06,30487
499,2023-12-10T05,30791
500,2023-12-10T04,31179
501,2023-12-10T03,31178
502,2023-12-10T02,29208
503,2023-12-10T01,26823
504,2023-12-10T00,25832
505,2023-12-09T23,25469
506,2023-12-09T22,25491
507,2023-12-09T21,25897
508,2023-12-09T20,26295
509,2023-12-09T19,27533
510,2023-12-09T18,28274
511,2023-12-09T17,27893
512,2023-12-09T16,27294
513,2023-12-09T15,26191
514,2023-12-09T14,25131
515,2023-12-09T13,25172
516,2023-12-09T12,25210
517,2023-12-09T11,25925
518,2023-12-09T10,27067
519,2023-12-09T09,27917
520,2023-12-09T08,29528
521,2023-12-09T07,30949
522,2023-12-09T06,31923
523,2023-12-09T05,32271
524,2023-12-09T04,32808
525,2023-12-09T03,33024
526,2023-12-09T02,31228
527,2023-12-09T01,29526
528,2023-12-09T00,28505
529,2023-12-08T23,28212
530,2023-12-08T22,28618
531,2023-12-08T21,28975
532,2023-12-08T20,30247
533,2023-12-08T19,31416
534,2023-12-08T18,32197
535,2023-12-08T17,31395
536,2023-12-08T16,30073
537,2023-12-08T15,27763
538,2023-12-08T14,26492
539,2023-12-08T13,26048
540,2023-12-08T12,26050
541,2023-12-08T11,26380
542,2023-12-08T10,26751
543,2023-12-08T09,27463
544,2023-12-08T08,29240
545,2023-12-08T07,31008
546,2023-12-08T06,32103
547,2023-12-08T05,32724
548,2023-12-08T04,33264
549,2023-12-08T03,33477
550,2023-12-08T02,31781
551,2023-12-08T01,30119
552,2023-12-08T00,29684
553,2023-12-07T23,29453
554,2023-12-07T22,29167
555,2023-12-07T21,29197
556,2023-12-07T20,30090
557,2023-12-07T19,30635
558,2023-12-07T18,31441
559,2023-12-07T17,30605
560,2023-12-07T16,29533
561,2023-12-07T15,27197
562,2023-12-07T14,25790
563,2023-12-07T13,25615
564,2023-12-07T12,25337
565,2023-12-07T11,25859
566,2023-12-07T10,26569
567,2023-12-07T09,27226
568,2023-12-07T08,28669
569,2023-12-07T07,30563
570,2023-12-07T06,31806
571,2023-12-07T05,32980
572,2023-12-07T04,33381
573,2023-12-07T03,33322
574,2023-12-07T02,32405
575,2023-12-07T01,30827
576,2023-12-07T00,30956
577,2023-12-06T23,31455
578,2023-12-06T22,30847
579,2023-12-06T21,30519
580,2023-12-06T20,30506
581,2023-12-06T19,30926
582,2023-12-06T18,30660
583,2023-12-06T17,30657
584,2023-12-06T16,29411
585,2023-12-06T15,27173
586,2023-12-06T14,25813
587,2023-12-06T13,25494
588,2023-12-06T12,25523
589,2023-12-06T11,25919
590,2023-12-06T10,26361
591,2023-12-06T09,27052
592,2023-12-06T08,28495
593,2023-12-06T07,30331
594,2023-12-06T06,31419
595,2023-12-06T05,32299
596,2023-12-06T04,32936
597,2023-12-06T03,33114
598,2023-12-06T02,31661
599,2023-12-06T01,29543
600,2023-12-06T00,29772
601,2023-12-05T23,29092
602,2023-12-05T22,28377
603,2023-12-05T21,28215
604,2023-12-05T20,28939
605,2023-12-05T19,29325
606,2023-12-05T18,30474
607,2023-12-05T17,30829
608,2023-12-05T16,29653
609,2023-12-05T15,27301
610,2023-12-05T14,26097
611,2023-12-05T13,25799
612,2023-12-05T12,26053
613,2023-12-05T11,26398
614,2023-12-05T10,26347
615,2023-12-05T09,26654
616,2023-12-05T08,28424
617,2023-12-05T07,30227
618,2023-12-05T06,31430
619,2023-12-05T05,32248
620,2023-12-05T04,32793
621,2023-12-05T03,33090
622,2023-12-05T02,31306
623,2023-12-05T01,29500
624,2023-12-05T00,29297
625,2023-12-04T23,29523
626,2023-12-04T22,29059
627,2023-12-04T21,28923
628,2023-12-04T20,29354
629,2023-12-04T19,30015
630,2023-12-04T18,30774
631,2023-12-04T17,30481
632,2023-12-04T16,28900
633,2023-12-04T15,26397
634,2023-12-04T14,25024
635,2023-12-04T13,25181
636,2023-12-04T12,25398
637,2023-12-04T11,25290
638,2023-12-04T10,25573
639,2023-12-04T09,26020
640,2023-12-04T08,28274
641,2023-12-04T07,29192
642,2023-12-04T06,30197
643,2023-12-04T05,30886
644,2023-12-04T04,31270
645,2023-12-04T03,31401
646,2023-12-04T02,29300
647,2023-12-04T01,27628
648,2023-12-04T00,27147
649,2023-12-03T23,26356
650,2023-12-03T22,25521
651,2023-12-03T21,24957
652,2023-12-03T20,25040
653,2023-12-03T19,25075
654,2023-12-03T18,25740
655,2023-12-03T17,26011
656,2023-12-03T16,25611
657,2023-12-03T15,24845
658,2023-12-03T14,24406
659,2023-12-03T13,24352
660,2023-12-03T12,24487
661,2023-12-03T11,25227
662,2023-12-03T10,26016
663,2023-12-03T09,27146
664,2023-12-03T08,28439
665,2023-12-03T07,29284
666,2023-12-03T06,29814
667,2023-12-03T05,30456
668,2023-12-03T04,31050
669,2023-12-03T03,31192
670,2023-12-03T02,29582
671,2023-12-03T01,27662
672,2023-12-03T00,25987
673,2023-12-02T23,26092
674,2023-12-02T22,25899
675,2023-12-02T21,26184
676,2023-12-02T20,28008
677,2023-12-02T19,27943
678,2023-12-02T18,27751
679,2023-12-02T17,27490
680,2023-12-02T16,27002
